Episode,Score
0,225
1,1536
2,896
3,225
4,228
5,590
6,587
7,236
8,604
9,695
10,998
11,229
12,1471
13,1189
14,581
15,638
16,636
17,232
18,441
19,242
20,606
21,901
22,471
23,633
24,239
25,182
26,655
27,224
28,889
29,635
30,582
31,1295
32,229
33,728
34,214
35,209
36,603
37,225
38,853
39,246
40,1072
41,663
42,228
43,603
44,214
45,759
46,225
47,671
48,739
49,1224
50,246
51,630
52,226
53,604
54,732
55,233
56,715
57,203
58,802
59,744
60,959
61,443
62,760
63,890
64,592
65,1218
66,590
67,616
68,230
69,239
70,1067
71,628
72,206
73,233
74,228
75,1256
76,1120
77,592
78,241
79,954
80,569
81,1000
82,1286
83,594
84,677
85,218
86,1252
87,619
88,185
89,636
90,485
91,634
92,976
93,244
94,1325
95,794
96,222
97,207
98,629
99,709
