Episode,Score
0,386
1,387
2,482
3,1153
4,1164
5,386
6,168
7,371
8,1154
9,386
10,386
11,386
12,394
13,386
14,386
15,381
16,386
17,374
18,957
19,1212
20,1164
21,388
22,1165
23,389
24,1283
25,469
26,958
27,952
28,378
29,386
30,384
31,378
32,1353
33,1285
34,959
35,1164
36,1166
37,1751
38,170
39,385
40,1162
41,364
42,175
43,383
44,1155
45,394
46,1160
47,687
48,1157
49,444
50,386
51,171
52,1161
53,388
54,172
55,475
56,173
57,170
58,386
59,394
60,477
61,386
62,391
63,476
64,477
65,383
66,386
67,1166
68,386
69,400
70,1215
71,389
72,1155
73,386
74,175
75,375
76,2039
77,483
78,1165
79,1151
80,392
81,1148
82,1214
83,386
84,388
85,386
86,171
87,1866
88,175
89,384
90,386
91,392
92,390
93,391
94,1921
95,378
96,1212
97,386
98,968
99,466
