Episode,Reward,Loss
0,222,3.442045718431473
1,634,12.033871956169605
2,896,59.24490762501955
3,200,3.945238918066025
4,615,17.10148546844721
5,1040,105.83438052237034
6,965,30.36863000690937
7,622,11.810568556189537
8,788,14.429550662636757
9,613,8.690721169114113
10,618,7.381905287504196
11,1192,41.96302059292793
12,209,2.4646136313676834
13,226,1.851954199373722
14,1786,35.87851746380329
15,898,38.22699673101306
16,196,2.8843528628349304
17,245,1.6805006861686707
18,239,1.5626278966665268
19,234,1.753641277551651
20,603,10.878266535699368
21,728,24.505029439926147
22,651,19.393728241324425
23,758,11.828553088009357
24,785,67.12247736752033
25,198,2.507034093141556
26,223,2.16076397895813
27,196,2.6566561311483383
28,1314,33.358153127133846
29,235,1.7528560906648636
30,968,21.826439060270786
31,731,13.511635966598988
32,768,16.480567425489426
33,660,19.380612276494503
34,567,7.065744020044804
35,225,1.7816439121961594
36,853,46.095974028110504
37,564,35.12392743304372
38,629,6.326988369226456
39,615,10.938944049179554
40,964,20.296474292874336
41,938,31.656229678541422
42,972,24.60526191443205
43,228,2.052986480295658
44,908,32.772047363221645
45,961,20.140156976878643
46,962,24.533842109143734
47,240,1.0826679170131683
48,240,1.399338811635971
49,183,2.421562999486923
50,578,5.519628018140793
51,1163,92.73814991116524
52,995,17.46709717065096
53,811,7.296819940209389
54,631,7.834073595702648
55,246,1.4475158751010895
56,650,44.166189432144165
57,911,34.57325553148985
58,187,3.7650088742375374
59,986,16.377904914319515
60,228,1.6182074844837189
61,588,5.882508169859648
62,688,31.764688976109028
63,236,1.6659275516867638
64,227,1.9346688613295555
65,745,21.71904606372118
66,219,1.7518525123596191
67,228,1.4784675538539886
68,580,10.113514691591263
69,206,3.0366691052913666
70,618,4.3358229994773865
71,602,6.713991083204746
72,941,28.379342775791883
73,939,27.033143296837807
74,638,6.025416545569897
75,710,17.331698030233383
76,629,4.62781498581171
77,630,22.69327074289322
78,592,6.665176808834076
79,779,14.031448632478714
80,1216,36.57732529193163
81,827,58.80902277678251
82,554,13.343379504978657
83,604,40.06954777240753
84,237,1.421429269015789
85,233,2.4656921103596687
86,417,87.29635784775019
87,669,35.95928518474102
88,240,1.2179139256477356
89,638,5.826975129544735
90,1218,31.542252492159605
91,1029,8.569590479135513
92,885,41.05473467707634
93,788,11.55906891822815
94,208,1.6097545251250267
95,920,32.80277340114117
96,725,10.409432962536812
97,234,2.1687394082546234
98,239,1.7195829898118973
