Episode,Score
0,485
1,486
2,366
3,174
4,174
5,174
6,483
7,174
8,174
9,2108
10,170
11,167
12,174
13,371
14,174
15,174
16,173
17,174
18,174
19,170
20,174
21,174
22,174
23,976
24,486
25,674
26,2158
27,174
28,167
29,170
30,482
31,174
32,174
33,2120
34,483
35,174
36,173
37,166
38,173
39,174
40,174
41,387
42,484
43,170
44,174
45,174
46,484
47,174
48,174
49,174
50,2106
51,176
52,370
53,174
54,174
55,174
56,174
57,172
58,174
59,486
60,489
61,174
62,171
63,171
64,387
65,1133
66,373
67,171
68,171
69,970
70,174
71,1149
72,174
73,174
74,170
75,173
76,174
77,174
78,170
79,174
80,174
81,174
82,173
83,388
84,174
85,371
86,481
87,171
88,484
89,174
90,174
91,491
92,174
93,174
94,169
95,174
96,174
97,172
98,174
99,174
