Episode,Reward,Loss
0,-21.0,0.514793946559621
1,-20.0,0.5226053025398869
2,-20.0,0.4788239189001615
3,-19.0,0.47187689925203813
4,-21.0,0.38524791665986413
5,-19.0,0.4733111531468239
6,-20.0,0.4630429462304164
7,-21.0,0.443427905443059
8,-21.0,0.42097414864929306
9,-18.0,0.6015330376303609
10,-21.0,0.4014204362520104
11,-20.0,0.4599427410239514
12,-20.0,0.4445410710732176
13,-21.0,0.4068675823036756
14,-20.0,0.35281712802861875
15,-20.0,0.3479453364961955
16,-20.0,0.36039997192165174
17,-20.0,0.405766538628086
18,-19.0,0.3345562423710362
19,-19.0,0.3450825320360309
20,-21.0,0.2243751164241985
21,-21.0,0.2972779618612549
22,-21.0,0.21901422331939102
23,-21.0,0.21539669021876762
24,-21.0,0.24917765511781909
25,-21.0,0.18312548315225285
26,-20.0,0.1816444542419049
27,-21.0,0.130036742775701
28,-21.0,0.18765750119564473
29,-21.0,0.12240051251865225
30,-21.0,0.096720911868033
31,-20.0,0.11976231943481253
32,-21.0,0.18065834073422593
33,-21.0,0.21244876495620701
34,-20.0,0.16029316559797735
35,-21.0,0.09621840143518057
36,-20.0,0.1282303110601788
37,-21.0,0.11852301617909689
38,-21.0,0.10964005740970606
39,-20.0,0.10807835204104776
40,-20.0,0.09397550253197551
41,-21.0,0.06711652502417564
42,-21.0,0.07741561648799689
43,-21.0,0.09020714589496492
44,-20.0,0.15277129808964673
45,-21.0,0.14751017485832563
46,-21.0,0.12555127560335677
47,-21.0,0.13430067215813324
48,-21.0,0.07924681307667925
49,-21.0,0.09866576230706414
50,-21.0,0.07101519705975079
51,-19.0,0.08864143048776896
52,-20.0,0.11755267985790852
53,-21.0,0.0983891643154493
54,-20.0,0.07493966242327588
55,-21.0,0.16313952257951314
56,-21.0,0.14855066753807478
57,-21.0,0.10798318103479687
58,-21.0,0.10256481059332145
59,-20.0,0.12454564300423954
60,-19.0,0.1316797756953747
61,-20.0,0.11150517172063701
62,-20.0,0.09213828151041525
63,-19.0,0.0865362727563479
64,-21.0,0.09488708887511166
65,-21.0,0.09201859692984726
66,-20.0,0.11158251931192353
67,-21.0,0.17091046046698466
68,-21.0,0.11811586393741891
69,-18.0,0.16630909506056923
70,-19.0,0.1224449111323338
71,-19.0,0.12708278824720765
72,-18.0,0.12392822784022428
73,-21.0,0.09714645288477186
74,-21.0,0.08832886220625369
75,-20.0,0.09249810552864801
76,-21.0,0.10293761000502855
77,-19.0,0.1800580656999955
78,-20.0,0.13157209403289016
79,-21.0,0.09009964682991267
80,-21.0,0.10337377277755877
81,-19.0,0.10467406847601524
82,-21.0,0.09262937934545334
83,-21.0,0.07687892667672713
84,-20.0,0.09686367295216769
85,-21.0,0.09986585230217315
86,-20.0,0.10463912381237606
87,-20.0,0.11775876361934934
88,-20.0,0.15625739401002647
89,-21.0,0.10773717894335277
90,-21.0,0.09953364004468312
91,-19.0,0.14929854546062415
92,-19.0,0.14533601947914576
93,-20.0,0.11536090009758482
94,-21.0,0.0849772989822668
95,-20.0,0.10589368269938859
96,-21.0,0.10513507774885511
97,-19.0,0.12974976389523363
98,-20.0,0.14565453368413728
99,-21.0,0.1028673485852778
100,-20.0,0.1528098044145736
101,-20.0,0.11491660201863851
102,-19.0,0.10463935240841238
103,-21.0,0.11341292988799978
104,-20.0,0.10186801253075828
105,-19.0,0.1194531736036879
106,-20.0,0.09196770773996832
107,-20.0,0.09968299342290265
108,-18.0,0.13068378686148208
109,-20.0,0.16229546923568705
110,-20.0,0.11704589772125473
111,-20.0,0.1423097783117555
112,-20.0,0.10620534985355334
113,-20.0,0.1423353702557506
114,-20.0,0.11846313352725701
115,-18.0,0.13659045589884045
116,-19.0,0.10102182946138782
117,-17.0,0.113941026997054
118,-21.0,0.16597840262693353
119,-20.0,0.12978757951350417
120,-20.0,0.14079419509653235
121,-21.0,0.13341577879327815
122,-21.0,0.10605005794059252
123,-19.0,0.12016316357039614
124,-20.0,0.09675239566422533
125,-20.0,0.10352805630100193
126,-17.0,0.12850811954558594
127,-21.0,0.11536274493846577
128,-21.0,0.13980056755099213
129,-20.0,0.12410117256513331
130,-21.0,0.11268552413821453
131,-21.0,0.10941500232729595
132,-20.0,0.09986837882752297
133,-21.0,0.1007142475064029
134,-19.0,0.141761854327342
135,-20.0,0.10545505051049986
136,-20.0,0.12225316752301296
137,-21.0,0.09466598791914294
138,-20.0,0.11600057958276011
139,-21.0,0.1429999784231768
140,-20.0,0.14863443664216902
141,-21.0,0.0944623272807803
142,-21.0,0.11771624686662108
143,-21.0,0.11582879917841638
144,-18.0,0.14589240870554931
145,-20.0,0.1417809060512809
146,-20.0,0.1194544045793009
147,-20.0,0.10946024116128683
148,-21.0,0.11415245899115689
149,-19.0,0.1424298759593512
150,-20.0,0.1449273304460803
151,-20.0,0.13158221304183826
152,-21.0,0.11866603272210341
153,-20.0,0.13306451902462868
154,-21.0,0.09332059464941267
155,-19.0,0.15097477831295691
156,-20.0,0.11232687702431576
157,-21.0,0.11739715618750779
158,-21.0,0.10196628286212217
159,-21.0,0.10794532706495374
160,-21.0,0.11709753570903558
161,-19.0,0.15853625903400825
162,-21.0,0.12035286863829242
163,-21.0,0.1251601058684173
164,-20.0,0.1281173503921309
165,-20.0,0.12856644317798782
166,-20.0,0.15538889556046342
167,-20.0,0.12285653306025779
168,-20.0,0.10714156737230951
169,-20.0,0.11503532177448506
170,-21.0,0.12701452921464806
171,-20.0,0.14385135503835045
172,-17.0,0.16898068613227224
173,-21.0,0.1264330517151393
174,-17.0,0.15147813114163
175,-17.0,0.15142801360343583
176,-21.0,0.10932098995544948
177,-21.0,0.09515178988294792
178,-21.0,0.1016842276949319
179,-19.0,0.12316415803070413
180,-20.0,0.1557696117524756
181,-19.0,0.14754403061670018
182,-21.0,0.1590649863355793
183,-21.0,0.10583585427229991
184,-21.0,0.13157659786520526
185,-17.0,0.15491598180233268
186,-21.0,0.14322750244900817
187,-19.0,0.1367638102528872
188,-21.0,0.09503626462537795
189,-19.0,0.1355567206555861
190,-21.0,0.138312059265445
191,-18.0,0.15723011692170985
192,-20.0,0.1195703588455217
193,-20.0,0.15054766507819295
194,-21.0,0.11477244357956806
195,-19.0,0.12280156613996951
196,-20.0,0.1326263241498964
197,-20.0,0.12031069443037268
198,-19.0,0.11728155487799086
199,-20.0,0.14569319770816946
200,-20.0,0.1485167075516074
201,-20.0,0.14642473579442594
202,-19.0,0.14688654467317974
203,-21.0,0.09147984253650066
204,-21.0,0.11094362002040725
205,-21.0,0.10920563115359982
206,-19.0,0.11404988947469974
207,-19.0,0.12099361018044874
208,-19.0,0.14520053253363585
209,-21.0,0.15674134266737383
210,-19.0,0.1786821140703978
211,-20.0,0.12023418166791089
212,-21.0,0.12006410252070054
213,-19.0,0.17557842659152811
214,-19.0,0.17486812625429593
215,-21.0,0.09888853559095878
216,-21.0,0.1106079315795796
217,-20.0,0.12123640104982769
218,-21.0,0.09662058980029542
219,-21.0,0.11009036059840582
220,-19.0,0.20678573963232338
221,-21.0,0.14987882684363285
222,-20.0,0.1297181066183839
223,-19.0,0.16970830672653392
