Episode,Reward,Loss
0,-20.0,1.0208279374346603
1,-18.0,1.0033801255176513
2,-21.0,0.7641667629104631
3,-20.0,0.8913909257844352
4,-21.0,0.6473272194889432
5,-21.0,0.49618998264486436
6,-20.0,0.4449412482936168
7,-20.0,0.4602057665470056
8,-20.0,0.2564067025668919
9,-19.0,0.3435289267654298
10,-21.0,0.3835824124835199
11,-21.0,0.2538070816663094
12,-21.0,0.20336598283756757
13,-21.0,0.28129662317223847
14,-21.0,0.13795201680477476
15,-21.0,0.20878143048321363
16,-21.0,0.1845931550633395
17,-18.0,0.24708029985777102
18,-21.0,0.1616015895633609
19,-20.0,0.16898613919329364
20,-20.0,0.24215037199974176
21,-21.0,0.13485593783843797
22,-18.0,0.33111877483315766
23,-21.0,0.14497346028656466
24,-21.0,0.12398585715709487
25,-21.0,0.18811794171779184
26,-21.0,0.10496783772396157
27,-21.0,0.10391272151900921
28,-21.0,0.11248763892945135
29,-21.0,0.17587836393431644
30,-19.0,0.10218067291134503
31,-21.0,0.04642458862872445
32,-20.0,0.18396817317261593
33,-20.0,0.2277899457985768
34,-21.0,0.17698960273264674
35,-21.0,0.07918654067179887
36,-20.0,0.14935669710393995
37,-21.0,0.18351364770933287
38,-21.0,0.0531873911168077
39,-21.0,0.10136967231301242
40,-20.0,0.15411658120865468
41,-20.0,0.138308603058249
42,-20.0,0.17876724636153085
43,-20.0,0.18093689656961942
44,-20.0,0.2525445080391364
45,-21.0,0.08763384919438977
46,-21.0,0.16122759621066507
47,-21.0,0.22406506360857747
48,-21.0,0.17531841499294387
49,-21.0,0.12198392611753661
50,-21.0,0.05810330131498631
51,-21.0,0.16596809680049773
52,-21.0,0.17277745866158511
53,-20.0,0.11785000941017643
54,-20.0,0.11890944490733091
55,-21.0,0.15032239447464235
56,-20.0,0.20362855978601146
57,-19.0,0.22774884130922146
58,-20.0,0.20821405958849937
59,-20.0,0.25661082250007894
60,-20.0,0.21253148149116896
61,-21.0,0.1084366777795367
62,-20.0,0.1420544284337666
63,-21.0,0.15132230018207338
64,-20.0,0.1447982946265256
65,-21.0,0.07964684735634364
66,-21.0,0.15124156743695494
67,-20.0,0.18355592846637592
68,-20.0,0.14656898769317195
69,-21.0,0.0941504650254501
70,-20.0,0.21632649587991182
71,-21.0,0.08441645246057305
72,-20.0,0.22047136386390775
73,-21.0,0.07293456640763907
74,-20.0,0.16736210710951127
75,-21.0,0.12123719843657454
76,-21.0,0.11342783539294032
77,-20.0,0.2024204498011386
78,-21.0,0.10385981727449689
79,-20.0,0.15514030552003533
80,-20.0,0.12860463329707272
81,-21.0,0.11049582738633035
82,-20.0,0.1362902522450895
83,-19.0,0.17146216062246822
84,-21.0,0.09048091269505676
85,-19.0,0.14436813464271836
86,-20.0,0.12906840790674323
87,-19.0,0.13079309971362818
88,-19.0,0.30289733395329677
89,-21.0,0.12035720163112273
90,-21.0,0.09162214145180769
91,-21.0,0.15365468881645938
92,-19.0,0.24019614337885287
93,-20.0,0.13389394611294847
94,-20.0,0.17903237041900866
95,-21.0,0.06043152048368938
96,-21.0,0.11719606326369103
97,-21.0,0.07860168229672126
98,-18.0,0.2051365508159506
99,-19.0,0.1523075353470631
100,-21.0,0.1483934682328254
101,-20.0,0.20354505733121186
102,-21.0,0.07413847547286423
103,-21.0,0.07932250294834375
104,-21.0,0.09116393639123999
105,-20.0,0.0952845625433838
106,-20.0,0.15809259195521008
107,-19.0,0.1917806325800484
108,-21.0,0.1331899135329877
109,-21.0,0.07033899026282597
110,-20.0,0.20546059227490332
111,-21.0,0.09210833289398579
112,-20.0,0.14093459439754952
113,-20.0,0.18415488434402505
114,-21.0,0.0974249465361936
115,-21.0,0.040086717421218054
116,-20.0,0.07673602170689264
117,-20.0,0.10210232213285053
118,-21.0,0.07099437093711458
119,-20.0,0.06718435047150706
120,-20.0,0.12876569281797856
121,-20.0,0.19886683678487316
122,-21.0,0.21210718841757625
123,-21.0,0.10590302030323073
124,-21.0,0.16533024402451701
125,-20.0,0.17430848479125416
126,-21.0,0.08487564919050783
127,-21.0,0.09304708658601157
128,-20.0,0.12780524793924997
129,-20.0,0.0922301123428042
130,-20.0,0.16440757130476413
131,-20.0,0.13495709677954437
132,-21.0,0.11446789758338127
133,-20.0,0.19257759508036543
134,-20.0,0.18679632651037537
135,-19.0,0.1338429869065294
136,-21.0,0.0979480890382547
137,-20.0,0.12879926300229272
138,-19.0,0.14388512456207536
139,-21.0,0.06353904068964766
140,-21.0,0.15590395247272681
141,-21.0,0.1435119357702206
142,-21.0,0.14566748526704032
143,-20.0,0.2590226996981073
144,-20.0,0.15132481347973226
145,-21.0,0.15987889660027577
146,-18.0,0.17633141756959958
147,-20.0,0.07723635206639301
148,-19.0,0.12843283011898166
149,-21.0,0.1596423974406207
150,-20.0,0.13043299918354023
151,-20.0,0.21432995519717224
152,-21.0,0.12685041279473808
153,-19.0,0.1308816956661758
154,-20.0,0.15303138724266319
155,-21.0,0.06729564469424076
156,-20.0,0.17925528512569144
