Episode,Score
0,20.0
1,20.0
2,16.0
3,4.0
4,20.0
5,20.0
6,14.0
7,18.0
8,17.0
9,21.0
10,11.0
11,18.0
12,20.0
13,17.0
14,18.0
15,13.0
16,14.0
17,18.0
18,19.0
19,18.0
20,16.0
21,20.0
22,16.0
23,5.0
24,16.0
25,12.0
26,20.0
27,18.0
28,16.0
29,17.0
30,20.0
31,14.0
32,20.0
33,20.0
34,8.0
35,20.0
36,21.0
37,5.0
38,12.0
39,16.0
40,21.0
41,14.0
42,18.0
43,10.0
44,7.0
45,19.0
46,11.0
47,15.0
48,17.0
49,12.0
50,17.0
51,19.0
52,17.0
53,12.0
54,13.0
55,15.0
56,15.0
57,19.0
58,10.0
59,18.0
60,14.0
61,21.0
62,19.0
63,15.0
64,15.0
65,13.0
66,15.0
67,21.0
68,14.0
69,20.0
70,20.0
71,16.0
72,14.0
73,11.0
74,18.0
75,10.0
76,8.0
77,12.0
78,19.0
79,21.0
80,17.0
81,12.0
82,16.0
83,12.0
84,20.0
85,18.0
86,18.0
87,13.0
88,12.0
89,18.0
90,16.0
91,20.0
92,15.0
93,14.0
94,18.0
95,19.0
96,17.0
97,18.0
98,18.0
99,18.0
