Episode,Reward,Loss
0,0.0,0.015775040294101927
1,0.0,0.049902022492460674
2,-17.0,0.14933635124907596
3,-11.0,0.10857776084594661
4,0.0,0.012492601556004956
5,-2.0,0.011931304310564883
6,-20.0,0.09907814786129165
7,-4.0,0.02084419682796579
8,-15.0,0.08327022120647598
9,0.0,0.011332828762533609
10,-1.0,0.008359136962099
11,-17.0,0.08133851979800966
12,-10.0,0.045060951972118346
13,-18.0,0.09323526499792933
14,-20.0,0.1186475623107981
15,-6.0,0.044136807569884695
16,-11.0,0.08297521013446385
17,-18.0,0.12198664236348122
18,-16.0,0.20966108253924176
19,-3.0,0.05837312765652314
20,-15.0,0.14003503942512907
21,-18.0,0.13922734845255036
22,-14.0,0.11100012557290029
23,-17.0,0.15017163903394248
24,-11.0,0.14917732883623103
25,-4.0,0.09561888755706605
26,-3.0,0.04213621422240976
27,-10.0,0.21399123853916535
28,0.0,0.003541200392646715
29,0.0,0.0005726758972741663
30,-18.0,0.19671281849514344
31,-3.0,0.02168079262628453
32,-20.0,0.28064973432628904
33,-12.0,0.16454197188431863
34,-3.0,0.0862816143053351
35,-7.0,0.16337893296440598
36,-1.0,0.024124714735080488
37,0.0,0.023750542328343727
38,-7.0,0.11010245986108202
39,-3.0,0.03548098755709361
40,-2.0,0.07710871414747089
41,-12.0,0.2354754532352672
42,-1.0,0.04200644533557352
43,-13.0,0.3497888122437871
44,-10.0,0.20321831820183434
45,-4.0,0.11644722632627236
46,-13.0,0.3214367352120462
47,-3.0,0.0805437671369873
48,-14.0,0.19543511313895578
49,-3.0,0.08979927765903994
50,-9.0,0.43861964406096376
51,-1.0,0.06384774548496353
52,-10.0,0.27989853254985064
53,-3.0,0.1227689523002482
54,-8.0,0.2515223623267957
55,-4.0,0.13990098552312702
56,-8.0,0.23067311427439563
57,-1.0,0.15669237499241717
58,-3.0,0.10478403603337938
59,-9.0,0.24762360178283416
60,0.0,0.01434146110113943
61,-1.0,0.03908605936157983
62,-6.0,0.20664675469015492
63,-14.0,0.39942302991403267
64,-13.0,0.26208965633122716
65,-1.0,0.10610310393531108
66,0.0,0.0508384550048504
67,-5.0,0.26311949817318236
68,-12.0,0.3815202930054511
69,-11.0,0.337813551457657
70,-6.0,0.0844458816718543
71,-4.0,0.2966365786851384
72,-8.0,0.27037372646009317
73,-16.0,0.37615855361218564
74,-8.0,0.18231673250556923
75,-2.0,0.08368701275321655
76,-1.0,0.018641541348188184
77,-13.0,0.41866360104177147
78,-8.0,0.2631538704299601
79,-4.0,0.11256683377723675
80,-11.0,0.2428567149763694
81,-6.0,0.3785723612891161
82,-2.0,0.06410060085181613
83,-12.0,0.2939554086115095
84,-8.0,0.4141818815660372
85,-5.0,0.09902123410574859
86,-12.0,0.4349062490873621
87,-12.0,0.37685911073640455
88,-11.0,0.28408157596277306
89,-12.0,0.2801680625489098
90,-6.0,0.17856250422482844
91,1.0,0.15142917280172696
92,-1.0,0.04437003919156268
93,-1.0,0.02109323101467453
94,-2.0,0.057045756417210214
95,-2.0,0.055884216431877576
96,-8.0,0.42395002946432214
97,-7.0,0.33002486873738235
98,0.0,0.3510123158157512
99,-9.0,0.31414022676835884
100,-13.0,0.3921189045868232
101,-11.0,0.22589494560088497
102,-5.0,0.14079891615256201
103,-4.0,0.06783548386010807
104,-6.0,0.16108875098871067
105,-1.0,0.03607713511883048
106,-11.0,0.34263813228244544
107,-1.0,0.07421642362169223
108,-9.0,0.28230794100818457
109,-7.0,0.199482826210442
110,2.0,0.19168459661887027
111,-15.0,0.31245004752418026
112,0.0,0.12694849577383138
113,5.0,0.2218030957665178
114,-9.0,0.24780528434348525
115,-4.0,0.08590017237293068
116,-8.0,0.24427270767773734
117,-3.0,0.30912428960436955
118,-13.0,0.29327476715116063
119,-3.0,0.2502016746584559
120,-10.0,0.30591311871103244
121,-12.0,0.3553515579478699
122,-5.0,0.3117260493672802
123,-3.0,0.3408094101396273
124,-8.0,0.28610620844119694
125,-2.0,0.1561444649778423
126,-6.0,0.21505516422985238
127,0.0,0.14391216435615206
128,-3.0,0.2973309906483337
129,-1.0,0.08012605781550519
130,-5.0,0.31022343904623995
131,-3.0,0.09777208248851821
132,-5.0,0.22140334418509156
133,1.0,0.013541098487621639
134,-5.0,0.19109936738095712
135,-8.0,0.31666241862330935
136,0.0,0.1714584849323728
137,-1.0,0.08058996296313126
138,-2.0,0.17754417061951244
139,-3.0,0.12162159877334489
140,-2.0,0.367836588062346
141,2.0,0.041595710383262485
142,-7.0,0.2956826498993905
143,-13.0,0.42101362193352543
144,3.0,0.2389655528604635
145,-4.0,0.2951303628651658
146,-1.0,0.17794450341898482
147,2.0,0.27866889632787206
148,-3.0,0.10634201074572047
149,0.0,0.00458878067729529
150,0.0,0.005943067939369939
151,-1.0,0.10597996527212672
152,1.0,0.09967635827342747
153,-1.0,0.4286570899421349
154,-2.0,0.2514667770083179
155,0.0,0.08646581599896308
156,-2.0,0.10658271996726398
157,2.0,0.07901613572175847
158,-2.0,0.07237674047792098
159,-1.0,0.09228916800930165
160,5.0,0.13451411511050537
161,10.0,0.11446323678683257
162,-5.0,0.3685116974738776
163,-1.0,0.1879409192915773
164,3.0,0.20499861049029278
165,14.0,0.1362833468010649
