0,307
1,1060
2,745
3,-67
4,-63
5,-66
6,1053
7,-56
8,292
9,286
10,284
11,257
12,746
13,1012
14,-73
15,-10
16,-65
17,-70
18,-55
19,1048
20,397
21,-69
22,1059
23,-59
24,861
25,-70
26,442
27,-60
28,-146
29,1062
30,1062
31,1061
32,744
33,723
34,-61
35,-68
36,714
37,1018
38,-57
39,328
40,306
41,-18
42,-74
43,-70
44,-65
45,288
46,717
47,765
48,-75
49,-65
50,-56
51,-77
52,1047
53,311
54,345
55,-146
56,1000
57,714
58,-62
59,1062
60,509
61,1003
62,301
63,-75
64,461
65,-62
66,1060
67,-68
68,1061
69,738
70,986
71,-63
72,-69
73,-55
74,-69
75,508
76,269
77,-72
78,1019
79,-62
80,996
81,-69
82,729
83,498
84,701
85,-77
86,-146
87,1059
88,284
89,325
90,988
91,-54
92,1063
93,726
94,1058
95,726
96,961
97,-50
98,748
99,-71
